@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1755,'2018/04/09 15:37:50:984',8,322.049713,349.415649,43.266018,236.565796,342.428833,61.30584,186.634094,335.556152,64.770126,115.928528,333.009033,63.529015,54.05484,343.077271,57.87241,0,0,0,0,0
1756,'2018/04/09 15:37:51:034',8,321.770996,350.555481,43.176033,235.453461,342.738892,61.14415,186.114029,336.126892,64.510765,115.679779,333.114716,63.268456,53.734955,342.736023,57.621132,0,0,0,0,0
1757,'2018/04/09 15:37:51:085',8,323.395264,352.409241,42.927219,236.834625,343.972961,60.882782,187.958145,337.360901,64.211128,117.615601,333.678711,62.991905,55.427917,342.772675,57.351265,0,0,0,0,0
1758,'2018/04/09 15:37:51:137',8,325.75885,354.42749,42.613697,239.761353,345.78595,60.634827,191.226654,339.041412,63.988831,120.930481,334.939331,62.820343,58.383087,343.62149,57.210663,0,0,0,0,0
1759,'2018/04/09 15:37:51:184',8,327.67926,356.11554,42.524872,241.813309,347.827026,60.579823,193.450745,341.28186,63.938538,123.220123,337.1492,62.799957,60.578857,345.632416,57.205269,0,0,0,0,0
1760,'2018/04/09 15:37:51:234',8,328.186096,357.154114,42.552246,242.032471,349.53302,60.610916,193.675232,343.302246,63.961414,123.535919,339.320465,62.824623,61.002472,347.660492,57.215889,0,0,0,0,0
1761,'2018/04/09 15:37:51:284',8,327.734985,357.275391,42.577591,241.159882,350.0448,60.616608,192.712021,343.97644,63.954865,122.58075,340.175415,62.802895,60.232605,348.61557,57.175983,0,0,0,0,0
1762,'2018/04/09 15:37:51:335',8,328.029175,358.596191,42.330818,241.777878,351.536407,60.398926,193.450455,345.571075,63.746483,123.333588,341.601868,62.623878,60.828583,349.841583,57.008469,0,0,0,0,0
1763,'2018/04/09 15:37:51:384',8,330.218445,361.97168,41.851257,244.669434,355.327148,59.985012,196.639343,349.523743,63.358719,126.564362,345.098724,62.302452,63.686615,352.851196,56.711754,0,0,0,0,0
1764,'2018/04/09 15:37:51:434',8,334.563721,368.014801,41.340115,249.705093,361.952484,59.5592,201.982483,356.127441,62.984661,131.924194,351.150513,61.99115,68.599274,358.350159,56.412487,0,0,0,0,0
